eventID,parentEventID,samplingProtocol,samplingEffort,decimalLatitude,decimalLongitude,eventDate,type,language,license,rightsHolder,datasetID,institutionCode,datasetName,habitat,country,geodeticDatum,coordinateUncertaintyInMeters
DIGITAF_FLANDERS:SAMPLE:Bo2:tree:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Bo2,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.804695,5.003687,2023-06-13,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Ge1:crtl:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Ge1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",51.011478,3.685224,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Ge1:crtl:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Ge1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",51.011478,3.685224,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Ge1:tree:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Ge1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",51.01141,3.686242,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Ge1:tree:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Ge1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",51.01141,3.686242,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Ie:crop:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Ie,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.898197,2.833149,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Ie:crop:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Ie,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.898197,2.833149,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Ie:crtl:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Ie,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.898647,2.833769,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Ie:crtl:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Ie,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.898647,2.833769,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Ie:tree:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Ie,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.897827,2.834499,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Ie:tree:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Ie,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.897827,2.834499,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Ie1:crtl:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Ie1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.869884,2.80778,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Ie1:crtl:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Ie1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.869884,2.80778,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Ie1:tree:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Ie1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.868481,2.808143,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Ie1:tree:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Ie1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.868481,2.808143,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Ie2:crtl:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Ie2,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.894154,2.837079,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Ie2:crtl:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Ie2,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.894154,2.837079,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Ie2:tree:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Ie2,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.892433,2.838647,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Ie2:tree:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Ie2,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.892433,2.838647,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:L1:crtl:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:L1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.818477,4.672386,2023-06-13,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:L1:crtl:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:L1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.818477,4.672386,2023-06-13,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:L1:tree:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:L1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.819168,4.673106,2023-06-13,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:L1:tree:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:L1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.819168,4.673106,2023-06-13,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:L2:crtl:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:L2,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.829258,4.671156,2023-06-13,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:L2:crtl:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:L2,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.829258,4.671156,2023-06-13,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:L2:tree:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:L2,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.830441,4.670732,2023-06-13,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:L2:tree:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:L2,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.830441,4.670732,2023-06-13,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
