"","Loc","Type","Sampletime","Spec","Flower","Det","Sex","Method","Stage","Number","Family","Order","lat","lng","date","Spec_group","occurrenceID"
"27","Bo1","crtl",1,"Sphaerophoria scripta","Matricaria","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.830734,4.813417,2023-06-12,"syrphids","DIGITAF_FLANDERS:8dc44746e8edd098"
"28","Bo1","crtl",2,"Aglais io","Buddleja","Jari Vandendriessche","","15' Transect","Ad",3,"Nymphalidae","Lepidoptera",50.830734,4.813417,2023-09-06,"butterflies","DIGITAF_FLANDERS:2600a682b0e8e78f"
"29","Bo1","crtl",2,"Apis mellifera","Picris","Jari Vandendriessche","","15' Transect","Ad",2,"Apidae","Hymenoptera",50.830734,4.813417,2023-09-06,"bees","DIGITAF_FLANDERS:73e971cf02e1d0f8"
"30","Bo1","crtl",2,"Bombus lapidarius","Picris","Jari Vandendriessche","","15' Transect","Ad",1,"Apidae","Hymenoptera",50.830734,4.813417,2023-09-06,"bees","DIGITAF_FLANDERS:9f4c15a5367a812b"
"31","Bo1","crtl",2,"Bombus pascuorum","Picris","Jari Vandendriessche","","15' Transect","Ad",2,"Apidae","Hymenoptera",50.830734,4.813417,2023-09-06,"bees","DIGITAF_FLANDERS:bfa2aef3ea402345"
"32","Bo1","crtl",2,"Pieris napi","","Jari Vandendriessche","","15' Transect","Ad",2,"Pieridae","Lepidoptera",50.830734,4.813417,2023-09-06,"butterflies","DIGITAF_FLANDERS:0bf52858d099a093"
"33","Bo1","crtl",2,"Pieris rapae","","Jari Vandendriessche","","15' Transect","Ad",2,"Pieridae","Lepidoptera",50.830734,4.813417,2023-09-06,"butterflies","DIGITAF_FLANDERS:d47dc5f33268f699"
"34","Bo1","crtl",2,"Pieris brassicae","","Jari Vandendriessche","","15' Transect","Ad",1,"Pieridae","Lepidoptera",50.830734,4.813417,2023-09-06,"butterflies","DIGITAF_FLANDERS:4ee99cc6cfcf1fcc"
"35","Bo1","crtl",2,"Vanessa atalanta","","Jari Vandendriessche","","15' Transect","Ad",1,"Nymphalidae","Lepidoptera",50.830734,4.813417,2023-09-06,"butterflies","DIGITAF_FLANDERS:08ce7e48a28831ab"
"36","Bo1","tree",1,"Bombus hypnorum","","Jari Vandendriessche","","15' Transect","Ad",1,"Apidae","Hymenoptera",50.831448,4.813626,2023-06-12,"bees","DIGITAF_FLANDERS:abbc0867d9c5d055"
"37","Bo1","tree",1,"Bombus lapidarius","","Jari Vandendriessche","","15' Transect","Ad",1,"Apidae","Hymenoptera",50.831448,4.813626,2023-06-12,"bees","DIGITAF_FLANDERS:a74954eb72d8515c"
"38","Bo1","tree",1,"Eristalis tenax","","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",3,"Syrphidae","Diptera",50.831448,4.813626,2023-06-12,"syrphids","DIGITAF_FLANDERS:043e52284c64c5c6"
"39","Bo1","tree",1,"Calliphora vicina","","Jari Vandendriessche","","15' Transect","Ad",1,"Calliphoridae","Diptera",50.831448,4.813626,2023-06-12,"flies","DIGITAF_FLANDERS:5bd6c353309b900a"
"40","Bo1","tree",1,"Dasytes spec.","Bryonia","Jari Vandendriessche","","15' Transect","Ad",2,"Melyridae","Coleoptera",50.831448,4.813626,2023-06-12,"beetles","DIGITAF_FLANDERS:44b50c4606b27012"
"41","Bo1","tree",1,"Episyrphus balteatus","","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",2,"Syrphidae","Diptera",50.831448,4.813626,2023-06-12,"syrphids","DIGITAF_FLANDERS:611e36cf05c3659e"
"42","Bo1","tree",1,"Scathophaga stercoraria","","Jari Vandendriessche","","15' Transect","Ad",1,"Scathophagidae","Diptera",50.831448,4.813626,2023-06-12,"flies","DIGITAF_FLANDERS:d83be2b1ae4ed0cf"
"43","Bo1","tree",1,"Eupeodes luniger","","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.831448,4.813626,2023-06-12,"syrphids","DIGITAF_FLANDERS:fa858c3f2cae6d18"
"44","Bo1","tree",2,"Pieris napi","Picris","Jari Vandendriessche","","15' Transect","Ad",1,"Pieridae","Lepidoptera",50.831448,4.813626,2023-09-06,"butterflies","DIGITAF_FLANDERS:c44274601aacabe2"
"45","Bo1","tree",2,"Pieris rapae","","Jari Vandendriessche","","15' Transect","Ad",1,"Pieridae","Lepidoptera",50.831448,4.813626,2023-09-06,"butterflies","DIGITAF_FLANDERS:6c37edfbf1121129"
"46","Bo1","tree",2,"Calliphora spec.","","Jari Vandendriessche","","15' Transect","Ad",1,"Calliphoridae","Diptera",50.831448,4.813626,2023-09-06,"flies","DIGITAF_FLANDERS:458610afa04aff1d"
"47","Bo2","crtl",1,"Ancistrocerus claripennis","Matricaria","Augustijn De Ketelaere","M","15' Transect","Ad",1,"Vespidae","Hymenoptera",50.804672,5.00229,2023-06-12,"wasps","DIGITAF_FLANDERS:52653b149fe5cfaa"
"48","Bo2","crtl",1,"Bombus terrestris/lucorum/magnus/cryptarum","Matricaria","Jari Vandendriessche","","15' Transect","Ad",1,"Apidae","Hymenoptera",50.804672,5.00229,2023-06-12,"bees","DIGITAF_FLANDERS:878bb71ef6d16cde"
"49","Bo2","crtl",1,"Eristalis arbustorum","Matricaria","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.804672,5.00229,2023-06-12,"syrphids","DIGITAF_FLANDERS:f8ae2955c9ab9acd"
