"","Loc","Type","Spec","Family","Order","lat","lng","date","Sampletime","Spec_group","Det","Stage","Sex","Method","occurrenceID"
"52","PL","tree","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.760017,4.03697,2023-06-14,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:43884563053e3ce7"
"53","Ti1","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",51.014877,3.473279,2023-05-18,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:762a6725ec87463a"
"54","Ti1","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",51.017292,3.472148,2023-05-18,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:bbf29e95f7bd17cd"
"55","TW","crop","Cnephaeus serotinus","Vespertilionidae","Chiroptera",50.930634,4.915771,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:3a9baaec2490bda0"
"56","TW","crop","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.930634,4.915771,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:e1e5ba8d0835b357"
"57","TW","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.92865,4.919942,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:f23a378ee54efd18"
"58","TW","crtl","Cnephaeus serotinus","Vespertilionidae","Chiroptera",50.92865,4.919942,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:d7454e122ea77e4e"
"59","TW","crtl","Myotis spec.","Vespertilionidae","Chiroptera",50.92865,4.919942,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:3a9acfa58935e605"
"60","TW","tree","Myotis spec.","Vespertilionidae","Chiroptera",50.931244,4.916273,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:f17bf1939074c80e"
"61","TW","tree","Plecotus auritus/Plecotus austriacus","Vespertilionidae","Chiroptera",50.931244,4.916273,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:e9f9686702ba2d2e"
